code,vol,price
002444.SZ,100,21.88
002439.SZ,100,21.62
002432.SZ,100,39.83
002430.SZ,100,26.24
002429.SZ,100,5.3
002423.SZ,100,6.51
002422.SZ,100,26.73
002414.SZ,100,6.77
002409.SZ,100,46.99
002408.SZ,100,5.0
002407.SZ,100,14.39
002399.SZ,100,10.32
002385.SZ,100,5.53
002384.SZ,100,15.63
002373.SZ,100,9.94
002372.SZ,100,14.36
002368.SZ,100,24.77
002353.SZ,100,28.21
002340.SZ,100,5.27
002326.SZ,100,12.04
002299.SZ,100,16.32
002294.SZ,100,30.13
002281.SZ,100,24.29
002273.SZ,100,12.14
002268.SZ,100,19.35
002266.SZ,100,3.42
002262.SZ,100,27.7
002244.SZ,100,6.82
002240.SZ,100,22.68
002223.SZ,100,34.15
002203.SZ,100,10.49
002195.SZ,100,2.8
002192.SZ,100,56.86
002185.SZ,100,7.71
002156.SZ,100,20.84
002155.SZ,100,11.3
002153.SZ,100,8.64
002152.SZ,100,10.66
002138.SZ,100,24.2
002131.SZ,100,2.21
002128.SZ,100,14.87
002120.SZ,100,6.99
002092.SZ,100,5.72
002080.SZ,100,15.18
002078.SZ,100,12.55
002065.SZ,100,5.65
002064.SZ,100,6.62
002056.SZ,100,14.15
002044.SZ,100,5.35
002032.SZ,100,52.39
002030.SZ,100,9.23
002028.SZ,100,54.63
002025.SZ,100,41.63
002019.SZ,100,14.15
002010.SZ,100,4.65
002008.SZ,100,18.9
001914.SZ,100,11.42
001872.SZ,100,16.24
001286.SZ,100,8.5
001227.SZ,100,2.62
001203.SZ,100,10.24
000998.SZ,100,13.71
000997.SZ,100,18.54
000988.SZ,100,26.64
000987.SZ,100,5.74
000975.SZ,100,14.5
000970.SZ,100,9.76
000967.SZ,100,4.88
000960.SZ,100,13.89
000959.SZ,100,3.33
000958.SZ,100,3.88
000937.SZ,100,7.52
000933.SZ,100,17.21
000932.SZ,100,5.38
000930.SZ,100,6.57
000898.SZ,100,2.47
000893.SZ,100,23.54
000887.SZ,100,11.37
000883.SZ,100,4.42
000878.SZ,100,10.82
000831.SZ,100,25.66
000830.SZ,100,9.91
000825.SZ,100,3.73
000785.SZ,100,3.11
000783.SZ,100,5.1
000778.SZ,100,3.75
000750.SZ,100,3.37
000739.SZ,100,14.43
000738.SZ,100,17.7
000729.SZ,100,8.41
000728.SZ,100,6.51
000723.SZ,100,6.29
000709.SZ,100,2.12
000703.SZ,100,6.74
000683.SZ,100,5.65
000636.SZ,100,12.45
000630.SZ,100,3.27
000629.SZ,100,3.19
000623.SZ,100,14.65
000598.SZ,100,6.0
000591.SZ,100,5.54
000581.SZ,100,15.17
000563.SZ,100,3.0
000559.SZ,100,4.87
000553.SZ,100,6.88
000547.SZ,100,7.71
000539.SZ,100,5.14
000537.SZ,100,9.87
000519.SZ,100,13.08
000513.SZ,100,35.58
000423.SZ,100,49.45
000402.SZ,100,3.49
000401.SZ,100,6.15
000400.SZ,100,21.61
000156.SZ,100,7.21
000155.SZ,100,13.46
000089.SZ,100,6.36
000066.SZ,100,9.11
000060.SZ,100,4.25
000050.SZ,100,9.41
000039.SZ,100,8.39
000031.SZ,100,2.88
000027.SZ,100,6.26
000021.SZ,100,13.81
000009.SZ,100,11.56
